Video ID,Title,Comment
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","370 hatega to security badhegi

Tourism. Badhega..

Development badhega

Baher wale ayenge jayenge ..

Economy badhegi

... Negativity kyun itni samajh nahi araha"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",I don't like BJP but today I stand up and give them a standing ovation . Finally wrong that was Nehru made is finally corrected.
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","App  ye 35 aur 370 ke chakkar me unnao case, bhul mat jana 
Agle सोमवार ko uska faisla ana chahiye"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Great step taken so proud
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",👍👍👍👍👍
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Great move modi sarkar
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Mr Amit Shah, Can you become PM of 🇵🇰 or  🇦🇫?"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Damn these people shout more than the students of my class when teacher is not there
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Jai BJP
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","'divide and rule'...  'saffron-ize and loot' 
that is what it is !"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Jai  jai shri ram
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Proud, proud and only proud to be a part of India and witnessing this historic day.!!😃😃"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",now quint channel will get aazadi in true sense
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Now iets unite .. one India ...
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Finally after so long years heaven is in safe hands .....well done modishah.....😍
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Shouting dogged their graveyard. Nobody can touch next 10yrs modi  ruling.
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",no discipline at all in the parliament. ridiculous. hardly able to listem what he's saying
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Bullshit,, if this is the democratic way then why india didn't adopted the sake procedures with PRINCELY STATE OF HYDERABAD DECCAN.. Why did bastard indian govt. committed police action and conducted the massacre."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Amit shah  : kutte bhokte rahenge me bill pass kr ke rahunga
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",gulama nabi azad ki ma ka bhosda
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Well done Amit Shahji.Rename jammu as its original name was Jambupur
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","chutiyon ki tareh chillate hain lol.
These parliamentarians are a disgrace."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Bharat me Jo deshdrohi h unki MAA ka bhosra
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",A decision is made. Now consequences will come. 😊
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Jal raha h Quint walo ka 🤣
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",I feel that modi and amit shah must be treated in way that kashmiri are treated . Then afterwards we decide to do any new legislation for kashmir
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",I feel that modi and amit shah must be treated in way that kashmiri are treated . Then afterwards we decide to do any new legislation for kashmir
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",I feel that modi and amit shah must be treated in way that kashmiri are treated . Then afterwards we decide to do any new legislation for kashmir
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","opposition behaved like dothrakis today and vaiko from Tamizhnadu was a big shame with his misleading and arrogant speech. i wonder how he survives all those cases against him. next move should be to eliminate urban naxals like him, the quint including 😂😂"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Jztt Love my India 🇮🇳❤️♥️ proud to be Indian 🇮🇳🙏 🕉️ ♥️
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",The Quint will be soon a BJP fan.. what is this nonsense the parliament is no more a parliament for today it became a fish market🤪😜
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",What a great news 🇮🇳🤗❤️❤️❤️
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Great work
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",What a baller
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",We were more in discipline during our school days. These all people are like back benchers.
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","210 dislikes are those who call the self librandu
Some are afjal ki aulad and some are nehru and gandhi ki aulad"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Today... 
Indian democracy died........ 😖From kerala"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Free Kashmir 
India is Certified Terrorist Country 
Killings | Torture | Rape & Gang Rape | Excessive use of force | Illegal Draconian Laws | Enforced Disappearances | Use of Pellet – Firing Shot Guns | Arbitrary Arrests and Detention including Minors.
Safe and secure Innocent Kashmiri's People, young, and Children Women and Man."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Great work by BJP now I don't need any special permission or pass to go to Leh Ladakh for bike ride 😅😅😅🤣🤣
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",What a fantastic move to divert peoples mind from the current Unnao Rape Victims planned accident by a BJP MLA.
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",jay ho ! dam laga kar
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",6:00 savage 😂 😂
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","the pairing of Modi and Shah just give enough masala to channels like Quint on which they can buy sabzi, bread for themselves in some next ten years 😊

ghar baar me ab koi bhukha nahi rahega 😝"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Congrats to our government for having guts to protect our borders from bastard country pakistan
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","India was formed for hindus. Remember that.
Jay hind.Great decision."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","No offence to other parties, this is something only BJP can do!"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Kashmir me ab THANDAV HOGA, OUR Jeehadiyonki ke Lashe Gurengi our Paida hoga naya Aazada J&k. JAI SHAMBO SHANKAR HARA HARA MAHADEVA.✌️🤘🤟🤙🕉️🕉️"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Ye peeche madarchodd ke bacchee kyu bhauk rahe hai ?
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",We Really need this. One PM superated the J&K from but one PM Rejoin it to India. Jo 62 years me nahi huva vo aaj huva hai. Long Live BJP. Long Live MoODIJI. 🙏💪👌🇮🇳
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","This will make it better for Pakistan all Kashmiri leader. That are Now the pro India  Kashmir leaders. Will become pro Independent/ Pakistan. 

So mufti, Umar Farooq family was who pro India are now under house rest!!!

Modi’s India shot them self in the foot!!!"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",https://www.youtube.com/watch?v=wkRHaoWN5vk&t=14s
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Appreciate step
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Modi should have mobilised more troops to the the RS to control the opposition😂
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Happiest day of my life.
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",6:00 🤣
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Venkaiah Naidu losing more and more hair after every single day of these RS sessions😂
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",So many dogs in parliment throw them biscuits
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Nice design taken by our government feeling proud 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",quint must be sad today
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",What is quint?????????
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Modi 2024
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Will quint quit now?😂😂🖕
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",quint jali na?
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","No circulation of notice.. no zero hour.. no prior notice.. aur discussion kuch Iss tarah.. and a honourable member of Parliament begs time to read the bill and understand!!!
To revoke the the landmark Article 370 and 35A which is going to have impact on millions of lives... Imposing curfew .. house arrest of leaders.. 
Good British tactics!!
Constitutional Monsterity!!!!"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Gazb ka hai din.. dekho zraa
Omar - Ham hai akele 
Mehbooba -  ham bhi akele

Amit shah - Maza aa rha hai ??
public *shouting* - kasam se... 😂😂😂😂"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Haramzaada chairman
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Indian here, can someone pls explain this removal ? What will happen now ?"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Bill is going to be passed in Rajya Shabha and Lok Shabha but bill need consent of J&K Legislative Assembley ?
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",chutiya h amit ssh
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Don't stop here Sindh Punjab Bangla baloch are ours I call modi  the great the day  akhand Bharat become a reality again
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Anti BJP quint maa Chodgayi 😂😂😂
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",The bald mother fucker sitting next to Derek obrien is a shit ass. Throw him out of RS
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Modi Hai toh mumkin hai
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Congress ne parliament ko machhi bazar bana diye..... Wo pappu kahin dikhai nai de raha h 😂
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Ek Bharat shresth Bharat
